Date;Volume
09.06.2021;1475792500
08.06.2021;1878796000
07.06.2021;1199895000
06.06.2021;NA
04.06.2021;1546218000
03.06.2021;824826250
02.06.2021;748018375
01.06.2021;1455873750
31.05.2021;NA
30.05.2021;NA
28.05.2021;98333820
27.05.2021;1214772000
26.05.2021;1777120000
25.05.2021;1663449750
24.05.2021;2011765250
23.05.2021;NA
21.05.2021;2478881375
20.05.2021;2652726375
19.05.2021;5496690375
18.05.2021;1800153750
17.05.2021;2490770625
16.05.2021;NA
14.05.2021;1349422875
13.05.2021;3810242750
12.05.2021;2409826500
11.05.2021;1504620625
10.05.2021;2263861875
09.05.2021;NA
07.05.2021;1417816750
06.05.2021;1677152250
05.05.2021;1691649000
04.05.2021;2257683375
03.05.2021;1612237500
02.05.2021;NA
30.04.2021;NA
29.04.2021;1506750000
28.04.2021;1770800000
27.04.2021;1389856000
26.04.2021;2116483500
25.04.2021;NA
23.04.2021;2655982500
22.04.2021;3542836500
21.04.2021;1648271500
20.04.2021;2597323750
19.04.2021;2933802625
18.04.2021;NA
16.04.2021;2084223375
15.04.2021;1548112875
14.04.2021;2661456375
13.04.2021;2219806875
12.04.2021;1998033375
11.04.2021;NA
09.04.2021;1153103750
08.04.2021;1319209125
07.04.2021;3272115500
06.04.2021;1556626250
05.04.2021;1749212250
04.04.2021;NA
02.04.2021;648931500
01.04.2021;1290285875
31.03.2021;2052558500
30.03.2021;1361740875
29.03.2021;2010189000
28.03.2021;NA
26.03.2021;NA
25.03.2021;2948201000
24.03.2021;2367451875
23.03.2021;2373922500
22.03.2021;2048400000
21.03.2021;NA
19.03.2021;1914646875
18.03.2021;2798139750
17.03.2021;2207493750
16.03.2021;2004241250
15.03.2021;2998355875
14.03.2021;NA
12.03.2021;2300142000
11.03.2021;2238359125
10.03.2021;1972912500
09.03.2021;1486006375
08.03.2021;1933798125
07.03.2021;NA
05.03.2021;2180706000
04.03.2021;2928760000
03.03.2021;1568119750
02.03.2021;1456243875
01.03.2021;1698660000
28.02.2021;NA
26.02.2021;178437375
25.02.2021;1730912750
24.02.2021;1971217000
23.02.2021;4651516875
22.02.2021;5147171000
21.02.2021;NA
19.02.2021;3081737250
18.02.2021;2189667000
17.02.2021;2495978250
16.02.2021;3788548500
15.02.2021;NA
14.02.2021;NA
12.02.2021;1807953000
11.02.2021;2111949500
10.02.2021;2250305250
09.02.2021;2582380625
08.02.2021;3009796500
07.02.2021;NA
05.02.2021;902901375
04.02.2021;1141182500
03.02.2021;882695125
02.02.2021;1018063750
01.02.2021;1058528375
31.01.2021;NA
29.01.2021;NA
28.01.2021;1150295750
27.01.2021;2188436250
26.01.2021;1371453375
25.01.2021;1441349500
24.01.2021;NA
22.01.2021;2077061250
21.01.2021;2243486000
20.01.2021;1725226750
19.01.2021;2687980500
18.01.2021;NA
17.01.2021;NA
15.01.2021;2628403750
14.01.2021;2025933875
13.01.2021;1723774250
12.01.2021;2527443000
11.01.2021;4036945125
10.01.2021;NA
08.01.2021;3068117750
07.01.2021;3200645250
06.01.2021;3466633500
05.01.2021;1348213750
04.01.2021;2435812500
03.01.2021;NA
01.01.2021;NA
31.12.2020;808209500
30.12.2020;1946803250
29.12.2020;1033197375
28.12.2020;2347968000
27.12.2020;NA
24.12.2020;113794415
23.12.2020;808486000
22.12.2020;1293728500
21.12.2020;1506114000
20.12.2020;NA
18.12.2020;816050250
17.12.2020;1865184750
16.12.2020;1306050500
15.12.2020;565995000
14.12.2020;587902500
13.12.2020;NA
11.12.2020;551990250
10.12.2020;644091250
09.12.2020;626146875
08.12.2020;697083000
07.12.2020;499834375
06.12.2020;NA
