Date;BITFINEX;BITSTAMP;HITBTC;COINBASE;BINANCE
03.03.2018;335696813,3007;89113831,9895;11203046,6048;150892461,3422;244046143,0355
04.03.2018;312385752,3819;78312827,2862;16089751,0910;98693404,9541;199162503,2893
05.03.2018;301556769,8651;113435032,9908;19287179,6940;123671343,5434;173462022,5956
06.03.2018;446466813,0558;158008378,3834;19507139,5364;195880656,0832;316303040,9166
07.03.2018;722365130,0175;258893765,4445;15259835,9020;321798330,3059;501918420,4028
08.03.2018;609591637,4476;209717662,4366;11754146,2500;217438649,8106;381152236,3411
09.03.2018;876735089,9873;267925760,4705;12209544,5400;388577648,4502;591564112,8124
10.03.2018;434955777,3530;113393244,5847;13232055,6062;151815132,7906;326076892,3587
11.03.2018;655854895,8017;156501714,1730;14561780,5344;206979909,0867;422584770,0936
12.03.2018;600551456,4416;171052649,9109;17231376,9849;192842176,6028;385623591,7433
13.03.2018;556109286,9506;146284823,5054;18957783,8664;157280070,7569;367751395,6257
14.03.2018;596888817,9871;174084513,5951;20900837,6185;228195351,1155;406114731,7432
15.03.2018;669496756,1876;152270272,6003;16877554,7258;231853665,7308;430929268,7643
16.03.2018;439458590,2388;136356097,7820;19257984,1321;140578995,1853;320615285,7162
17.03.2018;374030499,8151;95940284,4049;24674795,5168;108062659,7963;259080742,4832
18.03.2018;703051942,5744;160440037,4624;19872590,6030;250673316,9314;487208022,8308
19.03.2018;607673575,0094;166786115,7264;34848397,6458;218366070,8170;475554930,5012
20.03.2018;468213385,9377;119945051,6669;23498725,9680;182392799,4785;399747195,6877
21.03.2018;370235641,2062;104750943,5752;17184365,2300;137563396,7621;355154821,7213
22.03.2018;439447444,5648;111095381,1669;30910143,0303;130042633,3494;354302886,2892
23.03.2018;389823966,1402;123100402,6829;28057389,2096;136044470,3591;355841185,9423
24.03.2018;359333511,5940;83116480,9432;26275911,8682;101082421,1630;303128146,6865
25.03.2018;253780378,5007;77483943,7505;30801366,4191;76509816,5848;245648754,3371
26.03.2018;433679022,4515;144011170,9587;18581804,6940;156822558,5868;358179394,8254
27.03.2018;387905618,0312;96544096,2838;16952839,4244;116791399,9507;291767604,6503
28.03.2018;270851297,8869;66948022,1946;17266072,8705;87144048,5566;209872105,8443
